year,state,county,FIPS,candidate,party,candidatevotes,totalvotes,relative_votes
2012,Alabama,Jefferson,1073,Mitt Romney,republican,141683.0,303918,46.98350903140015
2012,Alabama,Lamar,1075,Barack Obama,democrat,1646.0,7166,23.17330705335773
2012,Alabama,Lamar,1075,Mitt Romney,republican,5457.0,7166,76.82669294664227
2012,Alabama,Lauderdale,1077,Barack Obama,democrat,12511.0,36924,34.350118060512884
2012,Alabama,Lauderdale,1077,Mitt Romney,republican,23911.0,36924,65.64988193948712
2012,Alabama,Lawrence,1079,Barack Obama,democrat,5069.0,14112,36.35516029548877
2012,Alabama,Lawrence,1079,Mitt Romney,republican,8874.0,14112,63.64483970451122
2012,Alabama,Lee,1081,Barack Obama,democrat,21381.0,54359,39.908539430704614
2012,Alabama,Lee,1081,Mitt Romney,republican,32194.0,54359,60.091460569295386
2012,Alabama,Limestone,1083,Barack Obama,democrat,9829.0,35459,27.98371483885662
2012,Alabama,Limestone,1083,Mitt Romney,republican,25295.0,35459,72.01628516114337
2012,Alabama,Lowndes,1085,Barack Obama,democrat,5747.0,7521,76.59602825536452
2012,Alabama,Lowndes,1085,Mitt Romney,republican,1756.0,7521,23.40397174463548
2012,Alabama,Macon,1087,Barack Obama,democrat,9045.0,10394,87.17232074016962
2012,Alabama,Macon,1087,Mitt Romney,republican,1331.0,10394,12.827679259830374
2012,Alabama,Madison,1089,Barack Obama,democrat,62015.0,155059,40.559454280276526
2012,Alabama,Madison,1089,Mitt Romney,republican,90884.0,155059,59.440545719723474
2012,Alabama,Marengo,1091,Barack Obama,democrat,6167.0,11537,53.612101190993656
2012,Alabama,Marengo,1091,Mitt Romney,republican,5336.0,11537,46.387898809006344
2012,Alabama,Marion,1093,Barack Obama,democrat,2249.0,12105,18.826385400971038
2012,Alabama,Marion,1093,Mitt Romney,republican,9697.0,12105,81.17361459902897
2012,Alabama,Marshall,1095,Barack Obama,democrat,6299.0,32566,19.582789280606853
